제품명(한글),수입일자,제조국,수출국,가격
체리,1/25/2021,칠레,칠레,24
"파인애플(12KG,2021.01.16)",1/25/2021,필리핀,필리핀,59
신선양파,1/25/2021,중국,중국,19
레몬,1/25/2021,미국,미국,63
오렌지,1/25/2021,미국,미국,30
황기/21KG,1/25/2021,중국,중국,26
황기,1/25/2021,중국,중국,69
신선표고,1/25/2021,중국,중국,81
표고버섯,1/25/2021,중국,중국,58
"파파야(5KG,2021.01.08)",1/25/2021,필리핀,필리핀,51
신선양파,1/25/2021,중국,중국,94
더덕,1/25/2021,중국,중국,37
신선표고버섯,1/25/2021,중국,중국,72
체리,1/25/2021,칠레,칠레,99
체리,1/25/2021,칠레,칠레,84
바나나,1/25/2021,에콰도르,에콰도르,54
호주백맥,1/25/2021,호주,호주,46
신선인삼,1/25/2021,중국,중국,27
망고,1/25/2021,태국,태국,17
갈랑가(10 KG),1/25/2021,태국,태국,21
바나나꽃,1/25/2021,태국,태국,87
레몬그라스,1/25/2021,태국,태국,55
건양파,1/25/2021,중국,중국,47
호박씨,1/25/2021,중국,중국,66
망고(5kg),1/25/2021,태국,태국,41
신선당근,1/25/2021,중국,중국,97
표고버섯,1/25/2021,중국,중국,34
신선당근,1/25/2021,중국,중국,81
깐도라지,1/25/2021,중국,중국,25
신선더덕,1/25/2021,중국,중국,81
깐더덕,1/25/2021,중국,중국,57
커피생두,1/25/2021,에티오피아,에티오피아,9
커피생두,1/25/2021,콜롬비아,콜롬비아,53
커피생두,1/25/2021,브라질,브라질,83
커피생두,1/25/2021,브라질,브라질,2
커피생두,1/25/2021,브라질,브라질,35
아보카도,1/25/2021,멕시코,멕시코,91
파인애플 (13.8KG),1/25/2021,필리핀,필리핀,98
파인애플 (12KG),1/25/2021,필리핀,필리핀,95
망고,1/25/2021,태국,태국,28
코코넛(8 KG),1/25/2021,태국,태국,72
샬롯,1/25/2021,네덜란드,벨기에,15
아보카도,1/25/2021,멕시코,멕시코,69
망고,1/25/2021,태국,태국,91
망고,1/25/2021,태국,태국,48
앤다이브,1/25/2021,벨기에,벨기에,54
차이브,1/25/2021,이스라엘,이스라엘,18
방울다다기 양배추,1/25/2021,벨기에,벨기에,4
타임,1/25/2021,이스라엘,이스라엘,6
아스파라거스,1/25/2021,페루,페루,37
아스파라거스,1/25/2021,페루,페루,46
신선양파,1/25/2021,중국,중국,29
신선양파,1/25/2021,중국,중국,99
냉동고추,1/25/2021,중국,중국,45
냉동홍고추,1/25/2021,중국,중국,58
냉동홍고추,1/25/2021,중국,중국,87
커피생두,1/25/2021,에티오피아,에티오피아,7
아몬드,1/25/2021,미국,미국,73
커피생두,1/25/2021,에티오피아,에티오피아,66
감초,1/25/2021,우즈베키스탄,우즈베키스탄,28
커피생두 (70KG),1/25/2021,콜롬비아,콜롬비아,44
생알땅콩,1/25/2021,중국,중국,86
유기농바나나,1/25/2021,페루,페루,78
쿨란트로,1/25/2021,태국,태국,96
콩나물콩,1/25/2021,미국,미국,18
옥수수,1/25/2021,러시아,러시아,17
호두,1/25/2021,미국,미국,97
건 라임잎,1/25/2021,태국,태국,84
아몬드,1/25/2021,미국,미국,80
아몬드,1/25/2021,미국,미국,1
호두,1/25/2021,미국,미국,9
냉동고추,1/25/2021,중국,중국,39
핑거루트,1/25/2021,태국,태국,36
레몬그라스,1/25/2021,베트남,베트남,35
신선대파,1/25/2021,중국,중국,86
냉동고추,1/25/2021,중국,중국,12
용과,1/25/2021,베트남,베트남,17
여주,1/25/2021,베트남,베트남,36
포도,1/25/2021,칠레,칠레,88
오렌지,1/25/2021,미국,미국,28
오렌지,1/25/2021,미국,미국,44
오렌지,1/25/2021,미국,미국,59
커피생두,1/25/2021,콜롬비아,콜롬비아,75
오렌지,1/25/2021,미국,미국,97
오렌지,1/25/2021,미국,미국,57
오렌지,1/25/2021,미국,미국,7
오렌지,1/25/2021,미국,미국,83
오렌지,1/25/2021,미국,미국,1
오렌지-18kg,1/25/2021,미국,미국,58
아스파라거스,1/25/2021,페루,페루,27
브로콜리니,1/25/2021,벨기에,벨기에,79
아티초크,1/25/2021,스페인,벨기에,72
송로버섯,1/25/2021,이탈리아,이탈리아,54
엔다이브,1/25/2021,벨기에,벨기에,50
펜넬,1/25/2021,스페인,벨기에,34
아스파라거스 4 kgs,1/25/2021,페루,페루,22
아스파라거스 4KG,1/25/2021,페루,페루,69
파스니프,1/25/2021,벨기에,벨기에,5
프리제(FRISEE),1/25/2021,스페인,벨기에,32
망고,1/25/2021,페루,페루,3
송로버섯,1/25/2021,이탈리아,이탈리아,42
신선송로버섯,1/25/2021,스페인,스페인,99
레드 엔다이브,1/25/2021,네덜란드,벨기에,74
바나나꽃,1/25/2021,태국,태국,55
샬롯,1/25/2021,태국,태국,65
쿨란트로,1/25/2021,베트남,베트남,11
대두,1/25/2021,캐나다,캐나다,91
자몽,1/25/2021,미국,미국,16
메로골드,1/25/2021,미국,미국,26
자몽,1/25/2021,미국,미국,21
자몽,1/25/2021,미국,미국,6
자몽,1/25/2021,미국,미국,8
석류,1/25/2021,미국,미국,79
"멜로골드(열매,신선)",1/25/2021,미국,미국,15
자몽,1/25/2021,미국,미국,39
냉동고추,1/25/2021,중국,중국,80
완두콩반태,1/25/2021,미국,미국,21
캐슈넛,1/25/2021,베트남,베트남,82
신선양파,1/25/2021,중국,중국,3
당귀/21KG,1/25/2021,중국,중국,51
바질씨,1/25/2021,방글라데시,방글라데시,11
냉동홍고추,1/25/2021,중국,중국,60
커피원두,1/25/2021,브라질,브라질,26
콩나물,1/25/2021,중국,중국,90
레몬,1/25/2021,미국,미국,83
냉동홍고추,1/25/2021,중국,중국,96
냉동홍고추,1/25/2021,중국,중국,95
냉동홍고추,1/25/2021,중국,중국,70
신선더덕,1/25/2021,중국,중국,40
커피원두(60KG),1/25/2021,인도,인도,4
밤,1/25/2021,중국,중국,56
깐더덕,1/25/2021,중국,중국,15
신선 표고버섯,1/25/2021,중국,중국,21
스코티시 팟 스틸 몰트(맥아),1/25/2021,영국,영국,16
프레쉬 영 코코넛,1/25/2021,태국,태국,44
냉동홍고추,1/25/2021,중국,중국,72
참깨,1/25/2021,중국,중국,81
건여주,1/25/2021,인도네시아,인도네시아,65
무,1/25/2021,중국,중국,98
커피원두,1/25/2021,파푸아뉴기니,파푸아뉴기니,11
도토리,1/25/2021,중국,중국,59
커피 생두,1/25/2021,에티오피아,에티오피아,74
검은깨,1/25/2021,중국,중국,13
냉동대파,1/25/2021,중국,중국,15
냉동고추,1/25/2021,중국,중국,77
자몽,1/25/2021,미국,미국,62
체리,1/25/2021,칠레,칠레,15
아몬드,1/25/2021,미국,미국,46
냉동홍고추,1/25/2021,중국,중국,4
참깨,1/25/2021,중국,중국,11
참깨,1/25/2021,중국,중국,40
레몬그라스,1/25/2021,베트남,베트남,63
동부콩(37.5KG),1/25/2021,미얀마,미얀마,52
건라임잎,1/25/2021,태국,태국,94
두리안,1/25/2021,태국,태국,36
코코넛,1/25/2021,태국,태국,24
망고,1/25/2021,페루,페루,43
아스파라거스(4KG),1/25/2021,태국,태국,26
아스파라거스(5KG),1/25/2021,페루,페루,66
하이비 아스파라거스 (5KG),1/25/2021,태국,태국,3
아스파라거스,1/25/2021,태국,태국,12
갈랑갈,1/25/2021,태국,태국,55
레몬그라스,1/25/2021,태국,태국,62
망고,1/25/2021,태국,태국,9
바나나 꽃,1/25/2021,태국,태국,93
샬롯,1/25/2021,태국,태국,80
갈랑갈,1/25/2021,태국,태국,66
냉동마늘,1/25/2021,중국,중국,12
냉동 연근,1/25/2021,중국,중국,46
냉동 근대,1/25/2021,중국,중국,59
냉동 시금치,1/25/2021,중국,중국,26
목이버섯,1/25/2021,중국,중국,58
계피(3KG),1/25/2021,베트남,베트남,40
냉동대파,1/25/2021,중국,중국,76
냉동당근,1/25/2021,중국,중국,56
한결농장 바닐라빈,1/25/2021,파푸아뉴기니,파푸아뉴기니,58
더덕,1/25/2021,중국,중국,91
냉동 냉이,1/25/2021,중국,중국,21
냉동홍고추(10KG),1/25/2021,중국,중국,67
냉동블루베리,1/25/2021,미국,미국,82
냉동 고사리,1/25/2021,중국,중국,31
냉동 단호박,1/25/2021,중국,중국,69
캐러웨이 씨드,1/25/2021,파키스탄,파키스탄,92
커피 생두,1/25/2021,콜롬비아,콜롬비아,5
냉동석류,1/25/2021,터키,터키,4
아몬드,1/25/2021,미국,미국,84
호두,1/25/2021,미국,미국,86
호두,1/25/2021,미국,미국,88
호두,1/25/2021,미국,미국,49
호두,1/25/2021,미국,미국,91
탈각호두(분태),1/25/2021,미국,미국,36
캐슈넛,1/25/2021,베트남,베트남,29
냉동배추,1/25/2021,중국,중국,51
냉동유채,1/25/2021,중국,중국,19
마른줄기상추,1/25/2021,중국,중국,22
무말랭이,1/25/2021,중국,중국,67
냉동깐밤,1/25/2021,베트남,베트남,32
냉동 마늘편,1/25/2021,중국,중국,57
냉동 당근,1/25/2021,중국,중국,17
냉동마늘,1/25/2021,중국,중국,15
냉동마늘,1/25/2021,중국,중국,74
나켈 알야 쿠드리(대추야자100%) 500G,1/25/2021,사우디아라비아,사우디아라비아,86
냉동 대파,1/25/2021,중국,중국,45
아몬드,1/25/2021,미국,미국,21
냉동대파,1/25/2021,중국,중국,18
호두,1/25/2021,미국,미국,70
호두,1/25/2021,미국,미국,95
피칸,1/25/2021,미국,미국,5
아몬드,1/25/2021,미국,미국,84
아몬드,1/25/2021,미국,미국,80
아몬드,1/25/2021,미국,미국,41
건파,1/25/2021,중국,중국,93
건파,1/25/2021,중국,중국,12
건파,1/25/2021,중국,중국,18
냉동 고사리,1/25/2021,중국,중국,18
압축표고버섯후레이크 (15MM),1/25/2021,중국,중국,32
냉동홍고추,1/25/2021,중국,중국,88
아몬드,1/25/2021,미국,미국,74
바나나,1/25/2021,콜롬비아,콜롬비아,33
강낭콩,1/25/2021,미국,미국,60
페루커피원두,1/25/2021,페루,페루,81
콜롬비아  커피원두,1/25/2021,콜롬비아,콜롬비아,34
콜롬비아  커피원두,1/25/2021,콜롬비아,콜롬비아,94
콜롬비아  커피원두,1/25/2021,콜롬비아,콜롬비아,71
맥아,1/25/2021,덴마크,덴마크,81
커피 생두,1/25/2021,콜롬비아,콜롬비아,81
커피생두,1/25/2021,콜롬비아,콜롬비아,17
체리 (5KG),1/25/2021,칠레,칠레,63
깐도라지 (2kg),1/25/2021,중국,중국,61
두리안,1/25/2021,태국,태국,51
갈랑갈,1/25/2021,태국,태국,6
코코넛,1/22/2021,태국,태국,84
신선당근,1/22/2021,중국,중국,47
블루베리,1/22/2021,칠레,칠레,95
바나나,1/22/2021,베트남,베트남,73
맥아,1/22/2021,호주,호주,37
체리,1/22/2021,칠레,칠레,34
해바라기씨,1/22/2021,불가리아,불가리아,82
체리,1/22/2021,칠레,칠레,50
바나나,1/22/2021,에콰도르,에콰도르,41
유기농 냉동노니,1/22/2021,인도네시아,인도네시아,22
레몬그라스,1/22/2021,이집트,이집트,78
커피 생두,1/22/2021,에티오피아,에티오피아,30
바나나,1/22/2021,콜롬비아,콜롬비아,88
페루커피원두,1/22/2021,페루,페루,44
신선당근,1/22/2021,중국,중국,77
마른고사리,1/22/2021,중국,중국,11
건고사리,1/22/2021,중국,중국,22
작은동부콩,1/22/2021,중국,중국,30
신선양파,1/22/2021,중국,중국,48
신선비트,1/22/2021,중국,중국,23
신선더덕,1/22/2021,중국,중국,75
표고버섯 슬라이스,1/22/2021,중국,중국,78
신선산양삼,1/22/2021,중국,중국,91
브로콜리,1/22/2021,중국,중국,10
오렌지,1/22/2021,미국,미국,62
오렌지,1/22/2021,미국,미국,31
오렌지,1/22/2021,미국,미국,57
아보카도,1/22/2021,멕시코,멕시코,77
아보카도,1/22/2021,멕시코,멕시코,26
"멜로골드(열매,신선)",1/22/2021,미국,미국,24
라디치오,1/22/2021,미국,미국,84
메로골드,1/22/2021,미국,미국,44
신선양상추,1/22/2021,중국,중국,67
망고,1/22/2021,태국,태국,92
망고,1/22/2021,태국,태국,67
망고,1/22/2021,태국,태국,74
용과,1/22/2021,베트남,베트남,52
용과,1/22/2021,베트남,베트남,72
망고,1/22/2021,베트남,베트남,56
냉동홍고추,1/22/2021,중국,중국,58
옥수수,1/22/2021,미국,미국,34
신선생강,1/22/2021,중국,중국,65
소맥,1/22/2021,호주,호주,40
소맥,1/22/2021,호주,호주,57
오렌지,1/22/2021,미국,미국,46
레몬,1/22/2021,미국,미국,52
건파,1/22/2021,중국,중국,4
냉동 양파 10KG,1/22/2021,중국,중국,77
냉동잣,1/22/2021,중국,중국,50
커피 생두,1/22/2021,멕시코,멕시코,63
블루베리,1/22/2021,칠레,칠레,26
커피원두(생두),1/22/2021,브라질,브라질,82
곶감,1/22/2021,중국,중국,83
호두,1/22/2021,미국,미국,23
비탈각호두,1/22/2021,미국,미국,97
냉동홍고추,1/22/2021,중국,중국,34
냉동홍고추,1/22/2021,중국,중국,24
냉동고추,1/22/2021,중국,중국,12
커피생두,1/22/2021,브라질,브라질,27
오렌지,1/22/2021,미국,미국,55
오렌지,1/22/2021,미국,미국,68
오렌지,1/22/2021,미국,미국,94
오렌지,1/22/2021,미국,미국,20
오렌지,1/22/2021,미국,미국,37
케냐 아라비카 커피,1/22/2021,케냐,케냐,69
대두,1/22/2021,캐나다,캐나다,81
유기농 아몬드,1/22/2021,미국,미국,82
신선양파,1/22/2021,중국,중국,42
코코넛,1/22/2021,베트남,베트남,40
커피원두(생두),1/22/2021,브라질,브라질,4
신선당근,1/22/2021,중국,중국,40
건조 무,1/22/2021,중국,중국,9
커피원두,1/22/2021,브라질,브라질,51
신선생강,1/22/2021,중국,중국,94
곶감,1/22/2021,중국,중국,3
깐도라지,1/22/2021,중국,중국,6
깐도라지,1/22/2021,중국,중국,69
마늘쫑,1/22/2021,중국,중국,17
깐우엉,1/22/2021,중국,중국,19
무말랭이,1/22/2021,중국,중국,1
냉동목별,1/22/2021,베트남,베트남,23
냉동카사바,1/22/2021,베트남,베트남,98
신선당근,1/22/2021,중국,중국,57
해바라기씨,1/22/2021,중국,중국,55
깐도라지,1/22/2021,중국,중국,77
깐도라지,1/22/2021,중국,중국,78
"마늘종(꽃줄기,신선)",1/22/2021,중국,중국,25
도라지,1/22/2021,중국,중국,60
신선양파,1/22/2021,중국,중국,79
우엉,1/22/2021,중국,중국,77
깐도라지,1/22/2021,중국,중국,62
신선깐도라지,1/22/2021,중국,중국,38
깐도라지,1/22/2021,중국,중국,23
깐도라지,1/22/2021,중국,중국,9
양상추,1/22/2021,대만,대만,19
깐도라지,1/22/2021,중국,중국,50
당귀,1/22/2021,중국,중국,1
"구기자(열매,건조)",1/22/2021,중국,중국,84
냉동능이버섯,1/22/2021,중국,중국,72
"천궁(뿌리줄기,건조)",1/22/2021,중국,중국,11
천궁,1/22/2021,중국,중국,70
우슬,1/22/2021,중국,중국,28
망고,1/22/2021,페루,페루,39
망고,1/22/2021,페루,페루,14
망고,1/22/2021,페루,페루,71
망고,1/22/2021,페루,페루,52
망고,1/22/2021,페루,페루,66
망고,1/22/2021,페루,페루,6
신선 갈랑갈,1/22/2021,태국,태국,31
판다누스잎,1/22/2021,태국,태국,43
죽순,1/22/2021,태국,태국,82
신선핑거루트,1/22/2021,태국,태국,58
바나나 꽃,1/22/2021,태국,태국,14
캐슈넛,1/22/2021,베트남,베트남,25
신선대파,1/22/2021,중국,중국,48
신선브로컬리,1/22/2021,중국,중국,53
냉동마늘,1/22/2021,중국,중국,94
냉동고추,1/22/2021,중국,중국,83
냉동홍고추,1/22/2021,중국,중국,55
커피원두,1/22/2021,베트남,베트남,16
냉동고추,1/22/2021,중국,중국,24
냉동홍고추,1/22/2021,중국,중국,36
신선양파,1/22/2021,중국,중국,53
아스파라거스,1/22/2021,태국,태국,21
"도라지/길경(뿌리,건조)",1/22/2021,중국,중국,58
숙지황,1/22/2021,중국,중국,35
건생강후레이크,1/22/2021,중국,중국,74
"황기(뿌리,건조)",1/22/2021,중국,중국,9
백맥,1/22/2021,미국,미국,57
우슬,1/22/2021,중국,중국,91
팔각회향,1/22/2021,베트남,베트남,20
백맥 10.5 PCT,1/22/2021,미국,미국,81
백맥,1/22/2021,미국,미국,45
신선대파,1/22/2021,중국,중국,56
커피생두,1/22/2021,콜롬비아,콜롬비아,8
콩나물콩,1/22/2021,미국,미국,94
콩나물콩,1/22/2021,미국,미국,98
탈곡귀리,1/22/2021,캐나다,캐나다,80
브라질커피,1/22/2021,브라질,브라질,69
커피 생두,1/22/2021,에티오피아,에티오피아,71
바나나,1/22/2021,에콰도르,에콰도르,27
대두,1/22/2021,미국,미국,63
호두,1/22/2021,미국,미국,31
완두콩,1/22/2021,캐나다,캐나다,74
호두,1/22/2021,미국,미국,31
망고,1/22/2021,페루,페루,87
망고,1/22/2021,페루,페루,91
침향,1/22/2021,인도네시아,인도네시아,51
망고,1/22/2021,페루,페루,83
망고,1/22/2021,페루,페루,51
망고,1/22/2021,페루,페루,60
녹용,1/22/2021,뉴질랜드,뉴질랜드,11
망고,1/22/2021,캄보디아,캄보디아,86
망고,1/22/2021,페루,페루,88
적강낭콩,1/22/2021,캐나다,캐나다,71
호두,1/22/2021,미국,미국,26
아몬드,1/22/2021,미국,미국,17
브로콜리니,1/22/2021,벨기에,벨기에,66
당귀/17KG,1/22/2021,중국,중국,29
백출,1/22/2021,중국,중국,86
우슬/12KG,1/22/2021,중국,중국,17
건국화,1/22/2021,중국,중국,94
천궁,1/22/2021,중국,중국,19
코코넛(10KG),1/22/2021,베트남,베트남,37
은행,1/22/2021,중국,중국,5
신선대파,1/22/2021,중국,중국,90
호두,1/22/2021,미국,미국,4
바나나,1/22/2021,에콰도르,에콰도르,56
커피생두,1/22/2021,과테말라,과테말라,60
오렌지,1/22/2021,미국,미국,23
바나나,1/22/2021,에콰도르,에콰도르,88
바나나,1/22/2021,에콰도르,에콰도르,91
신선도라지,1/22/2021,중국,중국,49
갈근,1/22/2021,중국,중국,61
황금,1/22/2021,중국,중국,60
도토리,1/22/2021,중국,중국,23
바나나,1/22/2021,에콰도르,에콰도르,36
계피500G,1/22/2021,베트남,베트남,96
냉동대파 50mm,1/22/2021,중국,중국,19
블랙 페퍼 홀(30G),1/22/2021,벨기에,벨기에,20
머스타드씨드,1/22/2021,벨기에,벨기에,54
월계수잎,1/22/2021,터키,벨기에,49
송로버섯,1/22/2021,중국,중국,41
더덕,1/22/2021,중국,중국,99
냉동부추,1/22/2021,중국,중국,1
아몬드,1/22/2021,미국,미국,67
캐슈넛,1/22/2021,베트남,베트남,38
호두,1/22/2021,미국,미국,63
깐호두,1/22/2021,미국,미국,15
냉동목이버섯,1/22/2021,중국,중국,18
캐슈넛,1/22/2021,베트남,베트남,78
망고,1/22/2021,베트남,베트남,22
캐슈넛,1/22/2021,인도,인도,53
무말랭이 (25KG),1/22/2021,중국,중국,73
건표고버섯후레이크,1/22/2021,중국,중국,23
냉동연근,1/22/2021,중국,중국,2
냉동 마늘편,1/22/2021,중국,중국,66
냉동 시금치,1/22/2021,중국,중국,40
냉동브로컬리,1/22/2021,중국,중국,62
호두,1/22/2021,미국,미국,92
아몬드,1/22/2021,미국,미국,89
건표고버섯,1/22/2021,중국,중국,59
냉동 얼갈이,1/22/2021,중국,중국,22
건표고버섯갓 PR,1/22/2021,중국,중국,66
호두,1/22/2021,미국,미국,77
호두,1/22/2021,미국,미국,59
갈랑갈,1/22/2021,인도네시아,인도네시아,89
그레이트 노던 빈,1/22/2021,미국,미국,80
피호두,1/22/2021,미국,미국,74
배,1/22/2021,대한민국,호주,13
생녹용,1/22/2021,뉴질랜드,뉴질랜드,33
오미자,1/22/2021,중국,중국,18
강적맥 14.0 PCT,1/22/2021,미국,미국,99
특맥,1/22/2021,미국,미국,41
특맥,1/22/2021,미국,미국,52
강낭콩,1/22/2021,미얀마,미얀마,26
건취나물,1/22/2021,중국,중국,56
비둘기콩,1/22/2021,미얀마,미얀마,54
백맥,1/22/2021,미국,미국,19
저백,1/22/2021,미국,미국,13
냉동홍고추,1/22/2021,베트남,베트남,53
깐도라지,1/22/2021,중국,중국,17
특맥,1/22/2021,미국,미국,53
적맥,1/22/2021,미국,미국,63
적맥 11.5PCT,1/22/2021,미국,미국,34
백맥 8.5 PCT,1/22/2021,미국,미국,49
백맥,1/22/2021,미국,미국,96
적맥,1/22/2021,미국,미국,23
특맥,1/22/2021,미국,미국,33
강적맥 14.0 PCT,1/22/2021,미국,미국,28
신선브로콜리,1/22/2021,중국,중국,79
마른고사리,1/22/2021,중국,중국,44
신선송로버섯,1/22/2021,스페인,스페인,98
사인,1/22/2021,미얀마,미얀마,42
오렌지,1/22/2021,미국,미국,82
냉동고추,1/22/2021,중국,중국,21
하수오,1/22/2021,중국,중국,69
냉동홍고추,1/22/2021,중국,중국,43
냉동홍고추,1/22/2021,중국,중국,5
침향,1/22/2021,인도네시아,인도네시아,26
스펠트 고대밀,1/22/2021,독일,독일,46
샬롯,1/21/2021,태국,태국,35
아스파라거스,1/21/2021,태국,태국,34
신선부추,1/21/2021,중국,중국,94
갈랑가,1/21/2021,태국,태국,76
아스파라거스,1/21/2021,태국,태국,80
바나나 꽃,1/21/2021,태국,태국,95
샬롯,1/21/2021,태국,태국,42
침향,1/21/2021,인도네시아,인도네시아,59
포도,1/21/2021,페루,페루,10
아스파라거스,1/21/2021,멕시코,미국,33
펜넬,1/21/2021,이탈리아,벨기에,94
브루셀스프라우트(방울다다기 양배추),1/21/2021,벨기에,벨기에,96
망고,1/21/2021,태국,태국,74
신선양배추,1/21/2021,중국,중국,47
신선양파,1/21/2021,중국,중국,47
냉동홍고추,1/21/2021,중국,중국,65
베트남 로부스타 커피,1/21/2021,베트남,베트남,99
파인애플,1/21/2021,필리핀,필리핀,53
"포도(열매,신선)",1/21/2021,페루,페루,16
포도,1/21/2021,페루,페루,25
망고,1/21/2021,태국,태국,96
신선우엉,1/21/2021,중국,중국,11
망고,1/21/2021,태국,태국,49
망고,1/21/2021,태국,태국,9
커피원두,1/21/2021,브라질,브라질,89
망고,1/21/2021,태국,태국,42
신선양파,1/21/2021,중국,중국,95
망고,1/21/2021,태국,태국,88
아보카도,1/21/2021,멕시코,멕시코,12
바나나,1/21/2021,과테말라,과테말라,1
렌틸(렌즈)콩,1/21/2021,캐나다,캐나다,43
건도토리,1/21/2021,남아프리카 공화국,남아프리카 공화국,99
깐우엉,1/21/2021,중국,중국,86
깐도라지,1/21/2021,중국,중국,85
신선송로버섯,1/21/2021,중국,중국,45
냉동송로버섯,1/21/2021,중국,중국,45
망고,1/21/2021,태국,태국,69
파쇄옥수수,1/21/2021,인도,인도,67
쿨란트로,1/21/2021,베트남,베트남,28
깐도라지,1/21/2021,중국,중국,9
신선양파,1/21/2021,중국,중국,67
콩나물,1/21/2021,중국,중국,93
냉동홍고추,1/21/2021,중국,중국,25
천궁/16KG,1/21/2021,중국,중국,9
깐도라지,1/21/2021,중국,중국,19
깐도라지,1/21/2021,중국,중국,99
신선깐도라지,1/21/2021,중국,중국,91
깐도라지,1/21/2021,중국,중국,87
커피원두,1/21/2021,브라질,브라질,40
신선양파,1/21/2021,중국,중국,81
하이비 아스파라거스 (5KG),1/21/2021,태국,태국,11
포도,1/21/2021,페루,페루,38
망고,1/21/2021,태국,태국,70
망고,1/21/2021,태국,태국,15
건고추,1/21/2021,중국,중국,34
콜롬비아  커피원두,1/21/2021,콜롬비아,콜롬비아,74
포도,1/21/2021,페루,페루,96
야자,1/21/2021,베트남,베트남,94
용과,1/21/2021,베트남,베트남,46
자몽,1/21/2021,미국,미국,50
바나나,1/21/2021,베트남,베트남,10
커피원두,1/21/2021,과테말라,과테말라,5
신선깐양파,1/21/2021,중국,중국,21
당근,1/21/2021,중국,중국,8
수세미오이,1/21/2021,중국,중국,89
포도,1/21/2021,페루,페루,80
"양상추(잎,신선)",1/21/2021,중국,중국,29
바나나,1/21/2021,페루,페루,16
포도,1/21/2021,페루,페루,20
신선양상추,1/21/2021,중국,중국,77
양상추,1/21/2021,대만,대만,18
망고,1/21/2021,태국,태국,78
당근,1/21/2021,중국,중국,65
신선우엉,1/21/2021,중국,중국,62
신선우엉,1/21/2021,중국,중국,1
신선 표고버섯,1/21/2021,중국,중국,58
신선당근,1/21/2021,중국,중국,67
"양파/신선,냉장",1/21/2021,중국,중국,15
산수유,1/21/2021,중국,중국,98
"칡/갈근(뿌리,건조)",1/21/2021,중국,중국,62
우슬,1/21/2021,중국,중국,84
정향,1/21/2021,방글라데시,방글라데시,55
포도,1/21/2021,페루,페루,51
포도,1/21/2021,페루,페루,21
"바나나(13KG,2020.12.30)",1/21/2021,베트남,베트남,50
꽃사슴생강,1/21/2021,중국,중국,46
고수씨,1/21/2021,미얀마,미얀마,17
고추씨,1/21/2021,중국,중국,70
신선당근,1/21/2021,중국,중국,18
커피원두,1/21/2021,브라질,브라질,21
건표고버섯,1/21/2021,중국,중국,95
갈랑가 갈랑갈,1/21/2021,태국,태국,3
레몬그라스,1/21/2021,태국,태국,9
샬롯,1/21/2021,태국,태국,16
방울다다기 양배추,1/21/2021,벨기에,벨기에,2
파스닙,1/21/2021,벨기에,벨기에,3
앤다이브(프리셰),1/21/2021,스페인,벨기에,75
펜넬,1/21/2021,이탈리아,벨기에,8
망고,1/21/2021,페루,페루,41
망고,1/21/2021,페루,페루,66
아티쵸크,1/21/2021,스페인,벨기에,82
밀,1/21/2021,프랑스,프랑스,48
앤다이브,1/21/2021,벨기에,벨기에,82
신선깐도라지,1/21/2021,중국,중국,52
신선도라지,1/21/2021,중국,중국,64
깐도라지,1/21/2021,중국,중국,26
깐도라지,1/21/2021,중국,중국,68
참깨,1/21/2021,중국,중국,99
양배추,1/21/2021,중국,중국,41
참깨,1/21/2021,중국,중국,74
참깨,1/21/2021,중국,중국,24
건목이버섯(10KG),1/21/2021,중국,중국,50
바나나,1/21/2021,콜롬비아,콜롬비아,56
흰옥수수,1/21/2021,미국,미국,33
깐도라지,1/21/2021,중국,중국,29
신선생강,1/21/2021,중국,중국,68
해바라기씨,1/21/2021,중국,중국,27
포도,1/21/2021,페루,페루,58
콜롬비아  커피원두,1/21/2021,콜롬비아,콜롬비아,15
유기농바나나,1/21/2021,페루,페루,82
실론계피,1/21/2021,스리랑카,스리랑카,97
마른호박고지,1/21/2021,중국,중국,45
바나나,1/21/2021,베트남,베트남,95
우슬,1/21/2021,중국,중국,58
수수,1/21/2021,미국,미국,89
베트남커피원두,1/21/2021,베트남,베트남,26
신선양파,1/21/2021,중국,중국,89
베트남커피원두,1/21/2021,베트남,베트남,54
바나나,1/21/2021,필리핀,필리핀,99
바나나,1/21/2021,필리핀,필리핀,1
바나나,1/21/2021,필리핀,필리핀,18
콩나물콩,1/21/2021,미국,미국,18
유기농 아몬드,1/21/2021,미국,미국,72
콩나물콩,1/21/2021,미국,미국,46
동부콩,1/21/2021,페루,페루,70
오렌지,1/21/2021,스페인,스페인,77
콩나물콩,1/21/2021,미국,미국,65
핑거루트,1/21/2021,태국,태국,79
냉동고추,1/21/2021,중국,중국,3
망고,1/21/2021,태국,태국,94
신선파파야,1/21/2021,필리핀,필리핀,59
포도,1/21/2021,페루,페루,2
유기농바나나,1/21/2021,콜롬비아,콜롬비아,99
냉동홍고추,1/21/2021,중국,중국,69
건토란줄기,1/21/2021,미얀마,미얀마,48
호두,1/21/2021,미국,미국,6
옥수수,1/21/2021,미국,미국,15
완두콩,1/21/2021,캐나다,캐나다,94
호두,1/21/2021,미국,미국,40
송로버섯,1/21/2021,이탈리아,이탈리아,5
망고,1/21/2021,페루,페루,60
핑거루트,1/21/2021,태국,태국,16
생감자,1/21/2021,미국,미국,16
바나나,1/21/2021,페루,페루,80
유기농 바나나,1/21/2021,페루,페루,83
